,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mu_b,-0.005533699668043584,0.036918802020911155,0.0017104294718739033,-0.08115504560857952,0.0681699624236447,490.27889102638557,0.9986366702546956
intercept,0.054635029073832136,0.015164136368337047,0.0012986433989384872,0.027828153167456574,0.08260137873273384,49.23765600688915,1.018468271201603
trending_days,0.14139121726612747,0.003614907592677797,0.00017375917190741322,0.13395310145412287,0.14847712110930347,377.006583325502,0.9998664758893885
likes,0.8112724419289304,0.0056141669274701825,0.00031509050479091953,0.8003535213907684,0.8214029686526314,312.73886424906914,0.9975111658086736
dislikes,0.29474446446915076,0.0041893842709275425,0.00018837911143604384,0.28746027865718204,0.30422024900882283,596.3990222161412,0.9978036033651333
comment_count,-0.2126295086227091,0.006156769993900453,0.0003317081626023796,-0.22392503719380222,-0.1997704605572612,337.77757299696907,0.9980666478536813
like_dislike_ratio,-0.02307177694416497,0.003378868652863606,0.00012339264979458769,-0.029607151517894535,-0.017030812003476132,812.2526305097349,0.9992025056720752
2,-0.019170341544127046,0.03333049065619224,0.0017896075205495782,-0.08286345452583821,0.03663881870815815,171.94852821488888,0.9986845789801819
10,-0.11015859833259584,0.020627499580042553,0.0014768625349361286,-0.14873657288963443,-0.07093195041943262,98.59911428264276,1.0060530121499596
15,-0.07449388961671291,0.03434418173480895,0.0017770380244646303,-0.1392441785640427,-0.00651223319380899,156.94711503051593,1.0155225726606967
17,0.03006183134477452,0.020499242786185652,0.0014513997190249543,-0.009125146174690613,0.07088940226155993,76.18349063656045,1.0153270002281691
19,-0.029643512019707146,0.04878208580867516,0.0027119081077066507,-0.13660862471895877,0.05366457982599573,121.1517839184406,1.0054033192107383
20,-0.1283475425787543,0.025477163589152297,0.0017221698349363511,-0.18187269922546895,-0.08119882933290026,95.1373910123271,1.0114403070766078
22,-0.0749650777773063,0.018142327727249098,0.001324040690617895,-0.10876546067711108,-0.04028980349996383,66.37849760712335,1.018286931799778
23,-0.20939501250626014,0.01937789988922037,0.0013974603479078264,-0.24532572604507868,-0.1684013049693501,70.71604609126796,1.0107850993388108
24,-0.026589550548786395,0.016113593828665326,0.0013013662916174945,-0.05481312846257023,0.004439759805334753,53.00193392508711,1.020090565849663
25,-0.04889876471902279,0.019073474077468754,0.001457114120860167,-0.0812929022682361,-0.00996275411038104,75.62885598491876,1.0091358561465615
26,-0.02135055420490109,0.020062812549078563,0.0014022455672743311,-0.056566773072790566,0.020588974362579563,88.85273426618825,1.009632624351238
27,-0.09231213810023325,0.024210744167601054,0.0015698869789625525,-0.1391861089452972,-0.04551278733417504,136.6915605912766,1.0062933312123048
28,-0.04368581674683772,0.02527874015850429,0.0015232621513154294,-0.10092265844123886,-6.863315421191377e-05,94.69928597564329,1.0093277273298673
29,-0.4540564063918911,0.07467049311526795,0.0034299855914042667,-0.6047772915221086,-0.31549826202759124,332.1310007885636,0.9977203494985322
30,0.09199277991577359,0.19179009870776204,0.007746314348798991,-0.24225111422083534,0.5062399257310589,771.6845019727463,1.0024749841237706
43,0.02317620583888479,0.05233217035099959,0.0023710494865234566,-0.07302695190130212,0.13406903566160183,296.49589448713647,1.007503406948617
topic_0,0.06156507686265034,0.0032678495963841415,0.00014645151348685836,0.054550174628725,0.06685382887100694,545.9328669049016,0.9988145690427317
topic_1,-0.0042311162033951575,0.003382693602637497,0.0001329122961485128,-0.010851200711518233,0.001965661492171301,723.0352497798884,0.9993549377517617
topic_2,0.0006289879510253238,0.0037438880760405392,0.0001719315548597781,-0.006799692649407676,0.006807656786646373,559.7293363622059,0.9998019268552238
topic_3,0.022516862688528323,0.003914974306502009,0.00016051773358180142,0.014658186247182079,0.02950644502536303,630.8900622815482,1.00247196959847
topic_4,-0.01880973397659974,0.003469568935026324,0.00016018728474918967,-0.025020074736298487,-0.011715296017842889,561.7802586279937,1.003470217328837
topic_5,0.004304459399030212,0.003508248178475131,0.00014631139969821297,-0.0022356170709242054,0.011089613441051617,575.9767966263792,1.0028967526271189
topic_6,-0.0059539115882811,0.003393008630960378,0.00015080069856985843,-0.012486002668268366,0.00045484684780417914,481.9058540994734,0.9990241674002439
topic_7,-0.015387189892266208,0.003765440670253863,0.0001705426375959752,-0.022589699585360883,-0.00814602093089854,529.1003744920238,0.9975264520617932
topic_8,-0.003093318481660069,0.003718909261657236,0.00015008346297091884,-0.010813434522780328,0.003348870587805937,481.77528392381487,1.0013717106558302
topic_9,0.002349409861905902,0.003325703076412418,0.00012287137094306732,-0.004001214422576747,0.00858719337113725,792.8078644135901,0.9978141038289268
topic_10,0.005181754824810861,0.003559428599622943,0.000165142268641123,-0.0023367957791246264,0.011485324511761144,441.69874707715996,0.9975381201409621
topic_11,-0.000531222785179961,0.003251641809914686,0.00013414472447815777,-0.006579622627328312,0.005834771882258476,561.6992872490854,1.000698788454479
topic_12,0.009984596055490416,0.0034346614445674778,0.00015993508143109417,0.002994932797039622,0.016006376162218474,497.80651448267287,0.9986677980212793
topic_13,-0.004661129739159023,0.0033690973519503974,0.0001643346910301128,-0.011574797744086342,0.002047319823210108,543.126989902982,0.9975654963598827
sigma_b,0.19429756917532195,0.02607917394460957,0.0012152108767922022,0.14583355436021297,0.24112017181416198,543.6635904237975,1.0061784627204693
variance,0.49596684872492536,0.002456306117154888,9.424485500338003e-05,0.4916860146980595,0.5007926426796169,865.6177830045776,0.9992730566303142
