,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mu_b,-0.009714677057544033,0.04573342018182757,0.0013771483730286769,-0.09735799446376428,0.07974735166726897,1022.0340874753574,0.9990793602597429
intercept,0.06474163536916165,0.015011036707178098,0.0010168820242143096,0.03660087618949899,0.09723483695542565,136.6047591612516,1.0172632050328434
likes,0.8334402919823344,0.005800532719692727,0.00022014388984669704,0.8221378906510984,0.8450031821294015,719.0061054964435,0.9990165485615381
dislikes,0.2989114773484967,0.003882935949957683,0.00011047746581475388,0.2910364667714202,0.3062450249131522,1383.1855379835467,0.9993219888877743
comment_count,-0.22151887719508812,0.006064432659478068,0.00023521861774995182,-0.23348897951082404,-0.20988360367596948,669.5918503278298,0.999209333742534
trending_days,0.11123977772252679,0.0033958624867328033,9.449337540849604e-05,0.10443782210238983,0.11762827538714461,1280.754000238536,0.9991793783822691
like_dislike_ratio,-0.024610625415123884,0.0032558285499984492,7.814208238981601e-05,-0.03116802563002819,-0.018686431140137003,1236.2425943883143,0.999303893245182
2,-0.03743542904939873,0.034306598926975664,0.0014006343775232266,-0.10615494793823425,0.025644147237621467,561.8261968640097,1.0001009277125907
10,-0.11076348649062058,0.02047329712206126,0.0011192669840741586,-0.14903391039208438,-0.07046937361519168,201.00258556538145,1.0113141614960217
15,-0.08415867435735723,0.03840130535308392,0.0013968489832710143,-0.15618713800442818,-0.0059320238126912925,658.9706166891767,1.0011047888905455
17,0.01874072913673568,0.01999982853729419,0.0010495668777787894,-0.022765660049149428,0.055893118354054486,239.73270144353987,1.009429861989518
19,-0.08871332225566525,0.042318956858142034,0.0016773406702003768,-0.17375088175378586,-0.011116184235209544,302.0380062408982,1.0084693967757166
20,-0.13277875111979534,0.02276920682363634,0.0011074550569676188,-0.17636223651218352,-0.08992205846839867,309.6655105929261,1.0050545143539826
22,-0.08619847299362644,0.018096933868806148,0.0011140017397384442,-0.12266694086536521,-0.05080399623908722,177.79993608395947,1.0117542918212994
23,-0.21231417178941625,0.019144782315189884,0.0011020624344703206,-0.24988737259588856,-0.1763982572676052,201.54645069191832,1.0164034571872458
24,-0.035247223095088744,0.01603058392891279,0.001046453120605367,-0.06709886667194528,-0.0031929594846445216,136.66490780270712,1.017249276004911
25,-0.06978907918624183,0.018120695556233687,0.0010945222167015383,-0.1075687275174576,-0.03558684034183742,142.75557638661093,1.0121703653085792
26,-0.03833357513971858,0.020885622575716176,0.001176452985911238,-0.08051588603278516,0.00045986342437932224,203.69068595919325,1.0102514322685914
27,-0.10379905063223034,0.024875852370371175,0.0011449572995555937,-0.1534409757861951,-0.058745705722819154,327.46643846016957,1.0015453069270472
28,-0.051882186205853276,0.024368775866837496,0.001212942997999703,-0.09902950503415421,-0.0017834044496727918,247.17278451276218,1.010044067087971
29,-0.4996485653399226,0.0752583555548174,0.0025895822521511984,-0.6386903889899467,-0.35395157114453274,605.5574994309662,1.0037640744599692
30,0.18047530567292386,0.21648024710183583,0.006679636422902842,-0.2297538737098284,0.6309386553245907,804.7005509291971,1.0081260735654902
43,0.03142275666961304,0.04816144141209816,0.0016065637002079189,-0.057209141961651215,0.12699163170686312,688.4502941636854,1.0033774546602172
topic_0,0.06040454027368671,0.003583822600015782,0.00012068419668117047,0.053046120880130866,0.06710632547004508,974.1357846254175,0.9998401126003794
topic_1,0.013676912607223975,0.003249894546960935,8.8048567036433e-05,0.0066334098446656255,0.019457447118578827,1644.3070681537215,1.0021941106758734
topic_2,0.0029657283905836123,0.003750707088734367,0.00010701909159558673,-0.004078983129229952,0.010676978612894978,1094.3993501633358,0.9991341494985998
topic_3,0.025863166685668335,0.003855589901648111,0.00012175933117362201,0.019021657570320403,0.033605835553717864,975.0518892418145,1.000320171331996
topic_4,-0.011204676746871192,0.0036986550207007197,9.535161722677032e-05,-0.01800063615241923,-0.003597128400280331,1298.9076153181977,0.9992387204309656
topic_5,-0.007965778980307823,0.0039813409861885855,0.00014014372142991393,-0.01690239520447402,-0.0007176445241784801,694.454886281023,1.0013040454533606
